<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.15	13091.90	13492.60	12949.85	13461.10	80783	0	50
2022.03.16	13452.95	14031.75	13425.15	14011.15	82676	0	50
2022.03.17	13982.45	14137.90	13824.90	14060.40	81057	0	50
2022.03.18	14069.20	14444.35	13973.15	14436.35	75732	0	50
2022.03.21	14417.55	14471.15	14190.50	14403.60	73673	0	50
2022.03.22	14385.75	14694.95	14299.95	14662.95	85415	0	50
2022.03.23	14648.85	14687.25	14448.15	14465.65	103316	0	50
2022.03.24	14461.80	14774.55	14439.15	14768.15	103874	0	50
2022.03.25	14777.70	14843.60	14578.60	14755.70	103479	0	50
2022.03.28	14777.80	15001.75	14664.60	14986.10	109628	0	50
2022.03.29	14977.10	15273.95	14961.95	15239.05	106139	0	50
2022.03.30	15222.85	15266.70	15016.95	15117.20	105350	0	50
2022.03.31	15103.70	15186.90	14860.90	14926.55	100213	0	50
2022.04.01	14924.35	14963.30	14730.75	14841.45	103098	0	60
2022.04.04	14851.15	15179.05	14807.00	15167.55	88879	0	60
2022.04.05	15160.65	15199.75	14784.70	14856.70	91674	0	60
2022.04.06	14855.25	14856.25	14400.20	14503.60	116438	0	25
2022.04.07	14512.40	14636.10	14322.30	14533.70	118043	0	60
2022.04.08	14545.75	14644.25	14314.55	14337.45	106320	0	60
2022.04.11	14363.60	14373.35	13990.05	14007.10	116753	0	60
2022.04.12	14015.45	14286.45	13885.00	13950.25	121861	0	60
2022.04.13	13965.55	14270.00	13927.05	14221.55	109049	0	60
2022.04.14	14217.35	14300.00	13880.65	13896.80	104648	0	60
2022.04.18	13831.50	14007.40	13734.90	13973.80	95392	0	60
2022.04.19	13977.75	14246.45	13835.50	14096.05	110204	0	60
2022.04.20	14093.15	14303.55	13963.35	14073.85	118129	0	60
2022.04.21	14081.85	14288.35	13673.65	13727.85	117488	0	60
2022.04.22	13703.25	13784.75	13303.35	13331.35	130011	0	60
2022.04.25	13307.55	13556.95	13190.80	13536.30	152422	0	60
2022.04.26	13515.35	13590.50	12809.15	12818.55	127319	0	60
2022.04.27	12909.05	13260.25	12909.05	13187.05	154237	0	60
2022.04.28	13188.25	13548.10	13041.40	13321.50	132461	0	60
2022.04.29	13230.95	13440.05	12839.15	12892.55	136545	0	60
2022.05.02	12923.00	13091.30	12717.40	13063.95	145283	0	60
2022.05.03	13052.90	13190.45	12974.85	13110.25	105707	0	60
2022.05.04	13121.35	13561.40	12890.55	13494.55	106386	0	60
2022.05.05	13519.50	13552.90	12712.70	12908.60	129274	0	60
2022.05.06	12880.15	12930.55	12522.85	12668.35	147993	0	60
2022.05.09	12596.00	12641.00	12141.60	12209.30	143946	0	60
2022.05.10	12224.80	12550.35	12108.80	12331.65	144887	0	60
